phd,pubs,sex,citations,salary
3,18,1,50,51876
6,3,1,26,54511
3,2,1,50,53425
8,17,0,34,61863
9,11,1,41,52926
6,6,0,37,47034
16,38,0,48,66432
10,48,0,56,61100
2,9,0,19,41934
5,22,0,29,47454
5,30,1,28,49832
6,21,0,31,47047
7,10,1,25,39115
11,27,0,40,59677
18,37,0,61,61458
6,8,0,32,54528
9,13,1,36,60327
7,6,0,69,56600
7,12,1,47,52542
3,29,1,29,50455
7,29,1,35,51647
5,7,0,35,62895
7,6,0,18,53740
13,69,0,90,75822
5,11,0,60,56596
8,9,1,30,55682
8,20,1,27,62091
7,41,1,35,42162
2,3,1,14,52646
13,27,0,56,74199
5,14,0,50,50729
3,23,0,25,70011
1,1,0,35,37939
3,7,0,1,39652
9,19,0,69,68987
3,11,0,69,55579
9,31,0,27,54671
3,9,0,50,57704
4,12,1,32,44045
10,32,0,33,51122
1,26,0,45,47082
11,12,0,54,60009
5,9,0,47,58632
1,6,0,29,38340
21,39,0,69,71219
7,16,1,47,53712
5,12,1,43,54782
16,50,0,55,83503
5,18,0,33,47212
4,16,1,28,52840
5,5,0,42,53650
11,20,0,24,50931
16,50,1,31,66784
3,6,1,27,49751
4,19,1,83,74343
4,11,1,49,57710
5,13,0,14,52676
6,3,1,36,41195
4,8,1,34,45662
8,11,1,70,47606
3,25,1,27,44301
4,4,1,28,58582
